"mean_AUCs"	"GOs_with_AUC"	"sd_AUCs"	"no.go.above.AUC80"	"no.unnanotated.prots"	"total.prots"	"total.predicted.go"
"25-1-1-0.5-Inte"	0.67	35.5	0.17	8.5	1361.4	5730	74.3
"15-1-1-0.2-Complet"	0.67	30.6	0.18	7.7	1331.2	5760	168.1
"25-1-1-0.5-S1"	0.68	17.8	0.16	4.2	733.9	3565	36.8
"25-1-1-0.2-S2"	0.68	1.9	NA	0.5	294.4	1378	12.8
"5-1-1-0.2-S2"	0.68	3.9	0.16	1.2	294.8	1378	7.6
"20-0-0-0.2-S2"	0.68	5.7	0.16	1.9	82	1378	35.1
"20-1-1-0.2-S3"	0.68	6.9	0.17	1.8	621.3	3391	37.6
"15-1-1-0.2-S3"	0.68	2	0.14	0.3	614.7	3391	13
"25-1-1-0.2-Inte"	0.68	13.9	0.18	3.5	1289.4	5730	74.6
"5-0-0-0.2-Complet"	0.68	256.9	0.21	71.7	3.1	5760	1814.1
"55-0-0-0.5-complet"	0.68	51.7	NA	11	3	5760	150.3
"40-1-1-0.2-Inte"	0.69	7	0.16	1.8	1271.2	5730	36.8
"40-1-1-0.2-Complet"	0.69	7	0.18	1.9	1292.5	5760	36.9
"20-1-1-0.2-S2"	0.7	13.4	0.17	3.9	0	1378	104.9
"15-1-1-0.2-S2"	0.7	5.9	0.17	2.1	300.2	1378	12.8
"40-1-1-0.2-S1"	0.71	3	0.19	1.2	694.8	3565	14
"20-0-0-0.2-Inte"	0.71	67.6	0.15	17.8	3	5730	448.5
"15-0-0-0.2-Inte"	0.71	95.9	0.17	29.4	3	5730	623
"20-0-1-0.2-Inte"	0.71	40.7	0.16	12.1	467.1	5730	216.9
"15-0-0-0.2-Complet"	0.71	98.3	0.17	29.2	3	5760	624
"20-1-0-0.2-Inte"	0.72	34.3	0.16	10.3	19.8	5730	217.9
"20-0-0-0.2-Complet"	0.72	69.9	0.16	19.8	3	5760	449
"20-0-1-0.2-Complet"	0.72	40.5	0.17	12.8	476.9	5760	217.8
"25-0-0-0.2-Inte"	0.73	56.6	0.15	17	3	5730	352.3
"25-0-0-0.2-Complet"	0.73	57	0.15	18	3	5760	353.7
"20-1-0-0.2-Complet"	0.74	33.2	0.14	11	18.8	5760	218
"55-0-1-0.2-complet"	0.74	10.9	0.13	3.4	507	5760	55.9
"70-0-1-0.2-complet"	0.75	8	0.14	3.2	489.4	5760	41
"70-1-0-0.2-complet"	0.75	7.8	0.12	2.8	9.2	5760	52
"70-0-0-0.2-complet"	0.75	22.1	0.12	7	3	5760	134.6
"55-0-0-0.2-complet"	0.75	25.2	0.14	8.1	3	5760	169
"40-0-0-0.5-complet"	0.76	54.6	0.13	19.9	3	5760	138.8
"55-1-0-0.2-complet"	0.76	9.8	0.12	3.3	10.1	5760	65.9
