TTK	MCPH1
CDC7	MCPH1
KIF18A	MCPH1
TRIP13	MCPH1
MTBP	MCPH1
HAUS8	MCPH1
DNA2	MCPH1
SFR1	MCPH1
ORC1	MCPH1
KIF2C	MCPH1
DCTD	MCPH1
BORA	MCPH1
GSG2	MCPH1
EXO1	MCPH1
SGOL1	MCPH1
NCAPG	MCPH1
CENPT	MCPH1
TERF1	MCPH1
CENPL	MCPH1
BRCA1	MCPH1
GTSE1	MCPH1
SKA3	MCPH1
NEK2	MCPH1
BIRC5	CKS1B
CDK1	CKS1B
PBK	CKS1B
PTTG1	CKS1B
CCNB2	CKS1B
CDCA3	CKS1B
KNSTRN	CKS1B
CCNB3	CKS1B
PLK1	CKS1B
CDKN3	CKS1B
DGUOK	CKS1B
TK1	CKS1B
CDC20	CKS1B
CENPH	CKS1B
MAD2L1	CKS1B
KPNA2	CKS1B
PRC1	CKS1B
AURKA	CKS1B
MCM5	CKS1B
TPX2	CKS1B
TOP2A	CKS1B
RACGAP1	CKS1B
RRM2	CKS1B
NEK2	CKS1B
MCM2	CKS1B
KIF23	CKS1B
SMC2	CKS1B
CENPW	CKS1B
KIF4A	CKS1B
SKA3	CKS1B
NUSAP1	CKS1B
BUB1B	CKS1B
NUF2	CKS1B
NCAPG	CKS1B
SERPINA10	ANGPTL3
HGD	ANGPTL3
F2	ANGPTL3
PLG	ANGPTL3
CFI	ANGPTL3
ACSM3	ANGPTL3
SERPINA4	ANGPTL3
FGA	ANGPTL3
PROC	ANGPTL3
PROZ	ANGPTL3
FBXL12	ANGPTL3
SERPINA1	ANGPTL3
AMBP	ANGPTL3
F7	ANGPTL3
LOC428693	ANGPTL3
CPB2	ANGPTL3
SERPINA5	ANGPTL3
HGFAC	ANGPTL3
LOC396443	ANGPTL3
SNRNP40	TFAM
C1QBP	TFAM
SSBP1	TFAM
ALYREF	TFAM
SEC11A	TFAM
WDR5	TFAM
GRSF1	TFAM
NONO	TFAM
PKM	HK1
PPP1R27	UCP3
TMOD4	UCP3
ENO3	UCP3
GPD1	UCP3
FBP2	UCP3
MYLK2	UCP3
ASB4	UCP3
AMPD1	UCP3
RPL3L	UCP3
ABRA	UCP3
MYOZ1	UCP3
YIPF7	UCP3
DUPD1	UCP3
MYPN	UCP3
TUBA4A	UCP3
LOC768665	UCP3
FBXO40	UCP3
LOC770936	UCP3
ATP2A1	UCP3
CACNA1S	UCP3
CACNG1	UCP3
NEB	UCP3
OBSCN	UCP3
SLC51A	NR1H4
SULT1C3	NR1H4
HNF4beta	NR1H4
LOC421740	NR1H4
SLC27A2	NR1H4
LOC419888	EDNRB2
SPIC	EDNRB2
RNF130	ACTN1
LASP1	ACTN1
PGRMC1	ACTN1
P4HB	ACTN1
TMED2	ACTN1
CAP1	ACTN1
MYL12A	ACTN1
SSR1	ACTN1
RPS3	ACTN1
GRM3	CACNG4
SEPT3	CACNG4
GRIN1	CACNG4
GPR22	CACNG4
SCN2A	CACNG4
TCTE1	CACNG4
FAM19A1	CACNG4
SYT1	CACNG4
SEZ6L	CACNG4
OPRL1	CACNG4
PHACTR3	CACNG4
SNAP25	CACNG4
SYT4	CACNG4
SLC6A1	CACNG4
ELFN2	CACNG4
BAI3	CACNG4
PPFIA2	CACNG4
LRRTM1	CACNG4
GPM6A	CACNG4
CSDC2	CACNG4
GABRG2	CACNG4
LOC416212	CACNG4
LAMP2	CACNG4
FGG	FGB
FGA	FGB
SERPINA10	FGB
PLG	FGB
AMBP	FGB
RP11-426L16.10	SUMO1
UBE2I	SUMO1
NUTF2	SUMO1
RER1	SUMO1
PSMB1	SUMO1
ARF1	SUMO1
MRPS34	SUMO1
VDAC2	SUMO1
CDC42	SUMO1
SAP18	SUMO1
PRDX1	SUMO1
REXO2	SUMO1
ERH	SUMO1
LSM7	SUMO1
COPS5	SUMO1
RPL4	SUMO1
UBR7	SUMO1
PSMA6	SUMO1
PSMA3	SUMO1
RAN	SUMO1
MAPK1IP1L	SUMO1
SMIM7	SUMO1
ZMAT2	SUMO1
RPS2	SUMO1
DNAJA2	SUMO1
SPRYD7	SUMO1
PPP4R2	SUMO1
PSMB4	SUMO1
PDCD6	SUMO1
RPL7	SUMO1
SRP14	SUMO1
SEP15	SUMO1
